"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Natural gas","Total industrial","Terajoules","283","units","0","v54272853","1.5.31","1529239","","","","0"
"2015","Canada","2016A000011124","Natural gas","Total transportation","Terajoules","283","units","0","v54272858","1.5.42","167166","","","","0"
"2016","Canada","2016A000011124","Natural gas","Total transportation","Terajoules","283","units","0","v54272858","1.5.42","154138","","","","0"
"2017","Canada","2016A000011124","Natural gas","Total transportation","Terajoules","283","units","0","v54272858","1.5.42","151132","","","","0"
"2018","Canada","2016A000011124","Natural gas","Total transportation","Terajoules","283","units","0","v54272858","1.5.42","167409","","","","0"
"2019","Canada","2016A000011124","Natural gas","Total transportation","Terajoules","283","units","0","v54272858","1.5.42","169470","","","","0"
"2020","Canada","2016A000011124","Natural gas","Total transportation","Terajoules","283","units","0","v54272858","1.5.42","154664","","","","0"
"2015","Canada","2016A000011124","Natural gas","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272859","1.5.43","39125","","","","0"
"2016","Canada","2016A000011124","Natural gas","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272859","1.5.43","41293","","","","0"
"2017","Canada","2016A000011124","Natural gas","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272859","1.5.43","39611","","","","0"
"2018","Canada","2016A000011124","Natural gas","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272859","1.5.43","43068","","","","0"
"2019","Canada","2016A000011124","Natural gas","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272859","1.5.43","44217","","","","0"
"2020","Canada","2016A000011124","Natural gas","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v54272859","1.5.43","42873","","","","0"
"2015","Canada","2016A000011124","Natural gas","Residential","Terajoules","283","units","0","v54272860","1.5.44","676325","","","","0"
"2016","Canada","2016A000011124","Natural gas","Residential","Terajoules","283","units","0","v54272860","1.5.44","618980","","","","0"
"2017","Canada","2016A000011124","Natural gas","Residential","Terajoules","283","units","0","v54272860","1.5.44","674027","","","","0"
"2018","Canada","2016A000011124","Natural gas","Residential","Terajoules","283","units","0","v54272860","1.5.44","748716","","","","0"
"2019","Canada","2016A000011124","Natural gas","Residential","Terajoules","283","units","0","v54272860","1.5.44","690030","","","","0"
"2020","Canada","2016A000011124","Natural gas","Residential","Terajoules","283","units","0","v54272860","1.5.44","650426","","","","0"
"2015","Canada","2016A000011124","Natural gas","Public administration","Terajoules","283","units","0","v54272861","1.5.45","23260","","","","0"
"2016","Canada","2016A000011124","Natural gas","Public administration","Terajoules","283","units","0","v54272861","1.5.45","24475","","","","0"
"2017","Canada","2016A000011124","Natural gas","Public administration","Terajoules","283","units","0","v54272861","1.5.45","28425","","","","0"
"2018","Canada","2016A000011124","Natural gas","Public administration","Terajoules","283","units","0","v54272861","1.5.45","29328","","","","0"
"2019","Canada","2016A000011124","Natural gas","Public administration","Terajoules","283","units","0","v54272861","1.5.45","30477","","","","0"
