GEO_NAME,Census year,Sex,Marital status, Total - Age,15 to 19 years,20 to 24 years
Alberta,1996,Female,Living common law,71615,3305,14165
British Columbia,2016,Female,Total - Marital status,2033825,125980,139945
British Columbia,2016,Female,Married or living common law,1151150,1980,24805
British Columbia,2016,Female,Married,965645,230,7130
British Columbia,2016,Female,Living common law,185500,1745,17675
British Columbia,2011,Female,Total - Marital status,1913650,133495,137535
British Columbia,2011,Female,Married or living common law,1079610,2780,27455
British Columbia,2011,Female,Married,919175,420,9895
British Columbia,2011,Female,Living common law,160435,2365,17560
British Columbia,2006,Female,Total - Marital status,1768635,133230,131820
British Columbia,2006,Female,Married or living common law,1006895,3720,29340
British Columbia,2006,Female,Married,867275,945,12065
British Columbia,2006,Female,Living common law,139620,2775,17270
British Columbia,2001,Female,Total - Marital status,1644500,131080,122125
British Columbia,2001,Female,Married or living common law,931105,3615,28075
British Columbia,2001,Female,Married,813920,850,13230
British Columbia,2001,Female,Living common law,117185,2765,14845
British Columbia,1996,Female,Total - Marital status,1526580,118295,120900
British Columbia,1996,Female,Married or living common law,881710,4005,33845
British Columbia,1996,Female,Married,778825,1030,18220
British Columbia,1996,Female,Living common law,102885,2970,15625
Yukon,2016,Female,Total - Marital status,14870,930,930
Yukon,2016,Female,Married or living common law,8235,20,235
Yukon,2016,Female,Married,5670,5,45
Yukon,2016,Female,Living common law,2565,15,190
Yukon,2011,Female,Total - Marital status,13995,1070,1065
Yukon,2011,Female,Married or living common law,7640,40,290
Yukon,2011,Female,Married,5265,5,55
Yukon,2011,Female,Living common law,2380,35,235
Yukon,2006,Female,Total - Marital status,12290,1050,925
Yukon,2006,Female,Married or living common law,6805,55,235
Yukon,2006,Female,Married,4800,5,45
Yukon,2006,Female,Living common law,2010,50,195
Yukon,2001,Female,Total - Marital status,11300,1115,825
Yukon,2001,Female,Married or living common law,6365,45,245
Yukon,2001,Female,Married,4575,5,75
Yukon,2001,Female,Living common law,1795,40,175
Yukon,1996,Female,Total - Marital status,11345,945,1035
Yukon,1996,Female,Married or living common law,6860,65,390
Yukon,1996,Female,Married,5010,5,155
Yukon,1996,Female,Living common law,1855,60,235
Northwest Territories,2016,Female,Total - Marital status,16115,1305,1430
Northwest Territories,2016,Female,Married or living common law,8945,35,385
Northwest Territories,2016,Female,Married,5735,0,50
Northwest Territories,2016,Female,Living common law,3205,35,335
Northwest Territories,2011,Female,Total - Marital status,15925,1625,1650
Northwest Territories,2011,Female,Married or living common law,8825,65,510
Northwest Territories,2011,Female,Married,5655,5,85
Northwest Territories,2011,Female,Living common law,3165,60,430
Northwest Territories,2006,Female,Total - Marital status,15335,1760,1520
Northwest Territories,2006,Female,Married or living common law,8660,100,510
Northwest Territories,2006,Female,Married,5675,15,70
Northwest Territories,2006,Female,Living common law,2990,80,440
Northwest Territories,2001,Female,Total - Marital status,13260,1400,1345
Northwest Territories,2001,Female,Married or living common law,7740,65,465
Northwest Territories,2001,Female,Married,5230,0,90
Northwest Territories,2001,Female,Living common law,2515,60,375
Northwest Territories,1996,Female,Total - Marital status,20850,2600,2475
Northwest Territories,1996,Female,Married or living common law,12585,290,1125
Northwest Territories,1996,Female,Married,8530,15,280
Northwest Territories,1996,Female,Living common law,4055,275,845
Nunavut,2016,Female,Total - Marital status,11840,1540,1510
Nunavut,2016,Female,Married or living common law,6420,170,630
Nunavut,2016,Female,Married,3280,0,50
Nunavut,2016,Female,Living common law,3140,170,585
Nunavut,2011,Female,Total - Marital status,10420,1470,1405
Nunavut,2011,Female,Married or living common law,5715,140,610
Nunavut,2011,Female,Married,3160,10,80
Nunavut,2011,Female,Living common law,2555,135,535
Nunavut,2006,Female,Total - Marital status,9445,1515,1215
Nunavut,2006,Female,Married or living common law,5195,175,520
Nunavut,2006,Female,Married,2990,5,70
Nunavut,2006,Female,Living common law,2210,165,450
Nunavut,2001,Female,Total - Marital status,8105,1235,1050
Nunavut,2001,Female,Married or living common law,4770,160,545
Nunavut,2001,Female,Married,2820,10,90
Nunavut,2001,Female,Living common law,1955,150,450
Nunavut,1996,Female,Total - Marital status,..,..,..
Nunavut,1996,Female,Married or living common law,..,..,..
Nunavut,1996,Female,Married,..,..,..
Nunavut,1996,Female,Living common law,..,..,..
